time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20161005T012645,36.53,1100,1100,36.6,1200,1200
20161005T020001,36.3,100,100,36.65,100,100
20161005T100001,36.3,100,100,36.6,1200,1200
20161005T122024,36.31,200,200,36.6,1200,1200
20161005T124621,36.3,100,100,36.6,1200,1200
20161005T124643,36.31,200,200,36.6,1200,1200
20161005T130810,36.3,100,100,36.6,1200,1200
20161005T130833,36.31,200,200,36.6,1200,1200
20161005T132940,36.3,100,100,36.6,1200,1200
20161005T133004,36.31,200,200,36.6,1200,1200
20161005T135110,36.3,100,100,36.6,1200,1200
20161005T135151,36.31,200,200,36.6,1200,1200
20161005T135411,36.31,200,200,36.6,1100,1100
20161005T135545,36.31,200,200,36.65,100,100
20161005T135553,36.4,100,100,36.8,100,100
20161005T135556,36.4,100,100,36.7,100,100
20161005T135608,36.41,200,200,36.7,100,100
20161005T140001,36.56,600,600,36.7,100,100
20161005T143534,36.56,1600,1600,36.7,100,100
20161005T151716,36.56,1600,1600,36.7,300,300
20161005T152521,36.56,1600,1600,36.7,100,100
20161005T152717,36.56,1600,1600,36.8,100,100
20161005T152719,36.56,1600,1600,36.79,100,100
20161005T152726,36.56,1700,1700,36.91,23700,23700
20161005T152728,36.56,1700,1700,36.93,300,300
20161005T152733,36.56,1700,1700,36.92,200,200
20161005T152735,36.56,1600,1600,36.92,200,200
20161005T152801,36.57,100,100,36.91,100,100
20161005T152811,36.56,600,600,36.91,100,100
20161005T152836,36.57,100,100,36.91,100,100
20161005T152906,36.57,100,100,36.89,100,100
20161005T152911,36.58,100,100,36.89,100,100
20161005T152945,36.59,400,400,36.88,400,400
20161005T152949,36.59,400,400,36.88,100,100
20161005T152951,36.61,400,400,36.91,400,400
20161005T152956,36.61,400,400,36.88,300,300
20161005T153001,36.7,800,800,36.86,400,400
20161005T153002,36.7,3100,3100,36.86,500,500
20161005T153005,36.7,3000,3000,36.86,500,500
20161005T153007,36.7,3000,3000,36.85,200,200
20161005T153008,36.7,3000,3000,36.85,500,500
20161005T153013,36.78,600,600,36.84,200,200
20161005T153015,36.78,800,800,36.84,200,200
20161005T153018,36.78,700,700,36.84,300,300
20161005T153021,36.79,200,200,36.84,200,200
20161005T153029,36.79,300,300,36.84,200,200
20161005T153030,36.86,300,300,36.86,100,100
20161005T153030,36.86,100,100,36.85,400,400
20161005T153030,36.85,100,100,36.85,200,200
20161005T153030,36.84,300,300,36.85,300,300
