time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total,
20161003T100001,36.8,100,100,37.58,100,100,0
20161003T124658,36.81,200,200,37.58,100,100,0
20161003T124723,36.81,200,200,37.57,200,200,0
20161003T131106,36.8,100,100,37.57,200,200,0
20161003T131128,36.81,200,200,37.57,200,200,0
20161003T133057,36.82,200,200,37.57,200,200,0
20161003T133122,36.83,200,200,37.57,200,200,0
20161003T133406,36.84,200,200,37.57,200,200,0
20161003T133421,36.85,200,200,37.57,200,200,0
20161003T133709,36.84,200,200,37.57,200,200,0
20161003T134316,36.85,200,200,37.57,200,200,0
20161003T134829,36.84,200,200,37.57,200,200,0
20161003T135930,36.84,200,200,37.39,100,100,0
20161003T135954,36.84,200,200,37.38,200,200,0
20161003T140001,36.84,200,200,37.25,1000,1000,0
20161003T140139,36.84,200,200,37.24,200,200,0
20161003T142843,36.84,200,200,37.25,1000,1000,0
20161003T143237,36.84,200,200,37.24,200,200,0
20161003T151135,36.9,100,100,37.24,200,200,0
20161003T152014,36.9,100,100,37.24,300,300,0
20161003T152048,36.9,100,100,37.24,200,200,0
20161003T152053,36.9,100,100,37.24,300,300,0
20161003T152609,36.9,100,100,37.24,200,200,0
20161003T152613,36.9,100,100,37.19,300,300,0
20161003T152622,36.9,100,100,37.13,300,300,0
20161003T152640,36.9,100,100,37.24,300,300,0
20161003T152720,36.9,100,100,37.23,200,200,0
20161003T152741,36.9,100,100,37.19,300,300,0
20161003T152751,36.9,100,100,37.18,200,200,0
20161003T152801,36.9,100,100,37.17,100,100,0
20161003T152926,36.9,100,100,37.16,200,200,0
20161003T152936,36.9,100,100,37.15,100,100,0
20161003T152943,36.9,100,100,37.15,200,200,0
20161003T152945,36.9,300,300,37.14,400,400,0
20161003T152946,36.9,300,300,37.13,300,300,0
20161003T152951,36.9,300,300,37.12,400,400,0
20161003T152956,36.9,300,300,37.11,300,300,0
20161003T153001,36.9,200,200,36.95,100,100,0
20161003T153001,36.9,300,300,36.95,100,100,0
20161003T153004,36.9,200,200,36.97,200,200,0
20161003T153006,36.9,300,300,36.97,200,200,0
20161003T153008,36.9,200,200,36.97,200,200,0
20161003T153012,36.92,200,200,36.98,200,200,0
20161003T153015,36.97,300,300,37.02,200,200,0
20161003T153016,36.97,300,300,37.02,100,100,0
20161003T153019,36.98,200,200,37.05,1700,1700,0
20161003T153020,36.98,500,500,37.05,1700,1700,0
20161003T153024,37.03,100,100,37.05,1500,1500,0
20161003T153025,37.05,300,300,37.11,1000,1000,0
20161003T153026,37.05,300,300,37.1,100,100,0
20161003T153027,37.05,200,200,37.11,100,100,0
20161003T153028,37.07,100,100,37.11,200,200,0
20161003T153030,37.07,200,200,37.11,200,200,0
20161003T153032,37.08,200,200,37.11,100,100,0
20161003T153033,37.09,200,200,37.14,100,100,0
20161003T153034,37.1,300,300,37.14,100,100,0
20161003T153038,37.1,200,200,37.14,100,100,0
20161003T153044,37.1,300,300,37.14,100,100,0
20161003T153045,37.1,400,400,37.14,100,100,0
20161003T153048,37.11,300,300,37.16,200,200,0
20161003T153049,37.12,200,200,37.16,100,100,0
20161003T153050,37.12,400,400,37.16,100,100,0
20161003T153052,37.13,300,300,37.16,100,100,0
20161003T153053,37.17,300,300,37.2,500,500,0
20161003T153054,37.18,200,200,37.2,100,100,0
20161003T153054,37.18,100,100,37.19,200,200,0
20161003T153054,37.17,100,100,37.17,100,100,0
20161003T153054,37.16,200,200,37.17,400,400,0
20161003T153054,37.16,200,200,37.18,300,300,0
20161003T153054,37.16,300,300,37.22,500,500,0
20161003T153056,37.18,200,200,37.23,100,100,0
20161003T153057,37.18,400,400,37.23,100,100,0
20161003T153058,37.18,400,400,37.24,400,400,0
20161003T153101,37.18,300,300,37.24,400,400,0
20161003T153103,37.18,200,200,37.24,400,400,0
20161003T153105,37.18,300,300,37.24,400,400,0
20161003T153108,37.18,200,200,37.24,400,400,0
20161003T153110,37.14,200,200,37.22,200,200,0
20161003T153111,37.14,200,200,37.21,200,200,0
20161003T153112,37.14,200,200,37.21,300,300,0
20161003T153116,37.14,200,200,37.21,400,400,0
20161003T153117,37.14,200,200,37.18,200,200,0
20161003T153118,37.11,100,100,37.16,200,200,0
20161003T153131,37.09,200,200,37.11,400,400,0
20161003T153133,37.03,100,100,37.08,200,200,0
20161003T153135,37.03,100,100,37.06,400,400,0
20161003T153137,36.98,100,100,37.02,100,100,0
20161003T153140,37.01,200,200,37.07,400,400,0
20161003T153141,37.02,200,200,37.07,500,500,0
20161003T153151,37.02,200,200,37.06,700,700,0
20161003T153157,37.02,300,300,37.06,700,700,0
20161003T153159,37.02,300,300,37.06,400,400,0
20161003T153201,36.96,100,100,37.02,600,600,0
20161003T153203,36.96,100,100,37.02,500,500,0
20161003T153204,36.95,600,600,37.02,600,600,0
20161003T153207,36.95,1300,1300,37.02,500,500,0
20161003T153211,36.95,1300,1300,37.01,300,300,0
20161003T153221,36.95,600,600,37.01,300,300,0
20161003T153223,36.96,300,300,37,700,700,0
20161003T153224,36.96,500,500,37,700,700,0
20161003T153227,36.96,400,400,37,700,700,0
20161003T153230,36.96,500,500,37,700,700,0
20161003T153231,36.96,200,200,37,700,700,0
20161003T153233,36.96,300,300,37,600,600,0
20161003T153234,36.96,400,400,37,600,600,0
20161003T153239,36.96,500,500,37,500,500,0
20161003T153241,36.96,500,500,37,1100,1100,0
20161003T153243,36.96,500,500,37,900,900,0
20161003T153247,36.96,500,500,37,400,400,0
20161003T153250,36.98,300,300,37,400,400,0
20161003T153253,36.97,100,100,36.98,100,100,
20161003T153254,36.97,200,200,36.99,100,100,
20161003T153255,36.96,200,200,36.98,100,100,
20161003T153257,36.97,100,100,36.98,100,100,
20161003T153258,36.96,100,100,36.98,200,200,
20161003T153301,36.96,200,200,36.99,200,200,
20161003T153307,36.95,100,100,36.97,300,300,
20161003T153308,36.94,200,200,36.97,300,300,
20161003T153312,36.93,300,300,36.96,400,400,
20161003T153313,36.86,400,400,36.92,900,900,
20161003T153314,36.86,300,300,36.92,900,900,
20161003T153316,36.86,300,300,36.92,700,700,
20161003T153317,36.86,400,400,36.92,800,800,
20161003T153319,36.86,400,400,36.92,900,900,
20161003T153322,36.86,400,400,36.92,1000,1000,
20161003T153324,36.86,300,300,36.92,1000,1000,
20161003T153327,36.91,100,100,36.94,500,500,
20161003T153329,36.91,200,200,36.93,200,200,
20161003T153331,36.9,200,200,36.93,300,300,
20161003T153332,36.86,500,500,36.93,500,500,
20161003T153337,36.86,500,500,36.93,300,300,
20161003T153349,36.86,500,500,36.93,100,100,
20161003T153351,36.88,500,500,36.93,100,100,
20161003T153355,36.87,300,300,36.91,300,300,
20161003T153357,36.87,300,300,36.91,100,100,
20161003T153358,36.88,200,200,36.91,100,100,
20161003T153359,36.87,200,200,36.9,300,300,
20161003T153403,36.87,100,100,36.9,300,300,
20161003T153411,36.87,200,200,36.9,300,300,
20161003T153412,36.89,100,100,36.9,100,100,
20161003T153413,36.9,200,200,36.93,200,200,
20161003T153415,36.9,200,200,36.93,300,300,
20161003T153417,36.9,400,400,36.93,200,200,
20161003T153417,36.9,100,100,36.92,100,100,
20161003T153420,36.89,200,200,36.91,100,100,
20161003T153422,36.89,300,300,36.92,100,100,
20161003T153423,36.87,200,200,36.87,100,100,
20161003T153423,36.87,500,500,36.91,100,100,
20161003T153426,36.88,500,500,36.92,100,100,
20161003T153430,36.88,500,500,36.93,100,100,
20161003T153435,36.9,300,300,36.94,300,300,
20161003T153437,36.88,200,200,36.94,300,300,
20161003T153440,36.88,300,300,36.94,300,300,
20161003T153441,36.88,300,300,36.93,500,500,
20161003T153455,36.88,400,400,36.93,300,300,
20161003T153500,36.88,300,300,36.93,300,300,
20161003T153501,36.88,300,300,36.92,700,700,
20161003T153503,36.88,200,200,36.92,800,800,
20161003T153509,36.88,300,300,36.92,800,800,
20161003T153513,36.88,100,100,36.91,200,200,
20161003T153514,36.88,100,100,36.9,400,400,
20161003T153515,36.9,100,100,36.92,200,200,
20161003T153517,36.88,300,300,36.92,300,300,
20161003T153518,36.88,200,200,36.92,400,400,
20161003T153524,36.88,200,200,36.91,100,100,
20161003T153525,36.88,200,200,36.92,400,400,
20161003T153535,36.9,300,300,36.95,400,400,
20161003T153537,36.9,200,200,36.95,700,700,
20161003T153539,36.9,200,200,36.95,600,600,
20161003T153542,36.9,300,300,36.95,400,400,
20161003T153544,36.91,200,200,36.95,600,600,
20161003T153547,36.91,300,300,36.95,100,100,
20161003T153548,36.95,500,500,36.97,500,500,
20161003T153553,36.95,500,500,36.97,200,200,
20161003T153605,36.94,100,100,36.97,300,300,
20161003T153607,36.94,300,300,36.97,200,200,
20161003T153608,36.92,500,500,36.97,500,500,
20161003T153609,36.91,200,200,36.94,300,300,
20161003T153611,36.91,100,100,36.94,500,500,
20161003T153612,36.91,200,200,36.94,400,400,
20161003T153615,36.91,500,500,36.94,400,400,
20161003T153616,36.91,500,500,36.94,300,300,
20161003T153618,36.91,500,500,36.94,200,200,
20161003T153622,36.91,500,500,36.94,300,300,
20161003T153624,36.92,500,500,36.95,300,300,
20161003T153626,36.92,300,300,36.95,600,600,
20161003T153627,36.92,400,400,36.95,700,700,
20161003T153629,36.92,400,400,36.95,500,500,
20161003T153630,36.94,200,200,36.96,100,100,
20161003T153636,36.94,100,100,36.96,100,100,
20161003T153640,36.94,300,300,36.96,100,100,
20161003T153646,36.94,100,100,36.96,100,100,
20161003T153647,36.94,200,200,36.96,200,200,
20161003T153650,36.94,300,300,36.96,200,200,
20161003T153651,36.94,300,300,36.96,100,100,
20161003T153653,36.95,100,100,36.96,100,100,
20161003T153654,36.95,300,300,36.97,200,200,
20161003T153657,36.99,200,200,36.99,200,200,
20161003T153657,36.99,700,700,37,100,100,
20161003T153658,36.96,300,300,36.99,500,500,
20161003T153701,36.96,300,300,36.99,200,200,
20161003T153703,36.96,300,300,36.99,300,300,
20161003T153707,36.96,100,100,36.99,300,300,
20161003T153715,36.96,300,300,36.99,300,300,
20161003T153717,36.96,200,200,36.99,400,400,
20161003T153718,36.96,400,400,36.99,400,400,
20161003T153719,36.96,500,500,36.99,400,400,
20161003T153723,36.96,300,300,36.99,400,400,
20161003T153725,36.97,100,100,36.98,300,300,
20161003T153727,36.96,400,400,36.97,100,100,
20161003T153728,36.94,300,300,36.96,100,100,
20161003T153728,36.94,100,100,36.96,300,300,
20161003T153730,36.95,100,100,36.96,100,100,
20161003T153734,36.94,100,100,36.96,500,500,
20161003T153736,36.93,100,100,36.95,300,300,
20161003T153737,36.93,100,100,36.95,400,400,
20161003T153741,36.93,200,200,36.95,400,400,
20161003T153743,36.92,200,200,36.94,600,600,
20161003T153745,36.91,200,200,36.94,600,600,
20161003T153747,36.91,300,300,36.93,600,600,
20161003T153750,36.91,300,300,36.93,500,500,
20161003T153751,36.91,200,200,36.93,500,500,
20161003T153755,36.89,100,100,36.91,300,300,
