,company,description,est_salary,link,location,post_time,real_salary_lower,real_salary_upper,title
0,Selby Jennings,Cover market data feed decoding. An ideal candidate will have had some experience in a similar trading environment but this is not a pre-requisite as the...,200000.0,http://www.indeed.com/rc/clk?jk=40150a3952cc6a2b&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",Just posted,175000.0,300000.0,VP C++ Low Latency Software Developer
1,Selby Jennings,Research Scientist - High Frequency Trading. An opportunity exists for an exceptional research scientist with a proven track record of cutting edge research...,200000.0,http://www.indeed.com/rc/clk?jk=40d959674a4fc18c&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",1 day ago,175000.0,250000.0,Research Scientist - High Frequency Trading
2,EMF Industries,Work will be with a Data Scientists to support some data science and prototypes for a Domestic Program Engagement....,200000.0,http://www.indeed.com/cmp/EMF-Industries/jobs/Software-Engineer-Earning-3b64404f8648030c?r=1&fccid=6e06161b05fe1825,"Reston, VA",5 days ago,222000.0,,"Software Engineer 09-20 Earning $222,000"
3,Rekruiters,Analyzing system performance/trading data; Building applicationsthat parse and stream data; Working with our research scientists to deliver their algorithms and...,200000.0,http://www.indeed.com/rc/clk?jk=22ab419b40468c0e&fccid=6c02f58b75d4dcce,"Houston, TX 77006 (Montrose area)",5 days ago,250000.0,,C++ Software Engineer
4,"DTS - NLP, Machine Learning","NLP, machine learning, data analytics:. Understanding of NLP, machine learning, data analytics, and expert systems*....",200000.0,http://www.indeed.com/cmp/DTS/jobs/VP-Engineering-Machine-Learning-c02e9d8def5d3e7c?r=1&fccid=ddf6271825219a2d,"Boston, MA",5 days ago,200000.0,,VP Engineering Machine Learning
5,Tandem Recruiting Group,"Research Scientist -- Computer Vision & Machine Learning. Its Research Institute accumulates over a decade R&D experience in Video Camera, Image Processing,...",200000.0,http://www.indeed.com/cmp/Tandem-Recruiting-Group/jobs/Senior-Machine-Learning-Scientist-4583a12ce4062b18?r=1&fccid=2d68a81d04a3d17b,"Santa Clara, CA",6 days ago,200000.0,,Senior Machine Learning Scientist
6,"The Hagan-Ricci Group, Inc.",New York City financial services firm is seeking an experienced Data Scientist with strong Python development skills to work collaboratively with quants and IT...,200000.0,http://www.indeed.com/rc/clk?jk=1fb426c9c0ce2437&fccid=31b9e0aaed20857f,"New York, NY",15 days ago,200000.0,300000.0,Data Scientist / Python Developer
7,Datacom Technology Group,"Should have experience conducting empirical research and working with large fundamental data sets. Will analyze and interpret relevant data, use valuation...",200000.0,http://www.indeed.com/rc/clk?jk=1399b83140ea54f7&fccid=fcfce6dc85448da7,"New York, NY 10022 (Midtown area)",18 days ago,200000.0,,Quantitative Analyst (Fundamental Quant Equities) - Hedge Fund
8,Selby Jennings,"Extract and analyze data from large, complex data sets. Experience manipulating large, complex data sets. Fluency in some selection of programming languages and...",200000.0,http://www.indeed.com/rc/clk?jk=d8f731e9ae667898&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",18 days ago,150000.0,250000.0,Quantitative Research – Machine Learning
9,HERO.jobs,Integrate data storage solutions (both relational and noSQL). Able to integrate multiple data sources and databases into one system....,200000.0,http://www.indeed.com/cmp/Hero.jobs/jobs/Senior-Software-Engineer-8d6c33e96b88b49c?r=1&fccid=a740ef1605ec14be,"San Francisco, CA",19 days ago,200000.0,,Senior Software Engineer - Python - Machine Learning
10,Technical Source,"Data analytics and modeling, data visualization, business acumen and strategy.*. The Data Scientist and Senior Managing Strategy Consultant role is in our...",200000.0,http://www.indeed.com/cmp/Technical-Source/jobs/Data-Scientist-f758a230b75bf33b?r=1&fccid=18de6f0ef89489e1,"Armonk, NY",22 days ago,200000.0,,Data Scientist
