,company,description,est_salary,exp_lvl,link,location,post_time,real_salary_lower,real_salary_upper,title
0,Selby Jennings,Cover market data feed decoding. An ideal candidate will have had some experience in a similar trading environment but this is not a pre-requisite as the...,200000.0,mid_level,http://www.indeed.com/rc/clk?jk=40150a3952cc6a2b&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",1 day ago,175000.0,300000.0,VP C++ Low Latency Software Developer
1,Selby Jennings,Research Scientist - High Frequency Trading. An opportunity exists for an exceptional research scientist with a proven track record of cutting edge research...,200000.0,mid_level,http://www.indeed.com/rc/clk?jk=40d959674a4fc18c&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",3 days ago,175000.0,250000.0,Research Scientist - High Frequency Trading
2,"The Hagan-Ricci Group, Inc.",New York City financial services firm is seeking an experienced Data Scientist with strong Python development skills to work collaboratively with quants and IT...,200000.0,mid_level,http://www.indeed.com/rc/clk?jk=1fb426c9c0ce2437&fccid=31b9e0aaed20857f,"New York, NY",17 days ago,200000.0,300000.0,Data Scientist / Python Developer
3,Datacom Technology Group,"Should have experience conducting empirical research and working with large fundamental data sets. Will analyze and interpret relevant data, use valuation...",200000.0,mid_level,http://www.indeed.com/rc/clk?jk=1399b83140ea54f7&fccid=fcfce6dc85448da7,"New York, NY 10022 (Midtown area)",20 days ago,200000.0,,Quantitative Analyst (Fundamental Quant Equities) - Hedge Fund
4,Selby Jennings,"Extract and analyze data from large, complex data sets. Experience manipulating large, complex data sets. Fluency in some selection of programming languages and...",200000.0,mid_level,http://www.indeed.com/rc/clk?jk=d8f731e9ae667898&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",19 days ago,150000.0,250000.0,Quantitative Research – Machine Learning
5,Technical Source,"Data analytics and modeling, data visualization, business acumen and strategy.*. The Data Scientist and Senior Managing Strategy Consultant role is in our...",200000.0,mid_level,http://www.indeed.com/cmp/Technical-Source/jobs/Data-Scientist-f758a230b75bf33b?r=1&fccid=18de6f0ef89489e1,"Armonk, NY",24 days ago,200000.0,,Data Scientist
6,Execu | Search,"Analyze large structured and unstructured data sets such as internal trade data, risk data, fundamental data, and sentiment data....",200000.0,mid_level,http://www.indeed.com/rc/clk?jk=d3b76f9ffe837d64&fccid=1d60172167b02068,"New York, NY",30+ days ago,150000.0,250000.0,Quantitative Risk Analyst
7,LT,Our data team consists of two data analysts and two data scientists. My client a leading mobile application company located right here in the beautiful Los...,200000.0,mid_level,http://www.indeed.com/cmp/LT/jobs/Sdet-Engineer-a20215ce22f17813?r=1&fccid=867f5ccabfd4ec09,"Los Angeles, CA",30+ days ago,200000.0,,SDET Engineer
8,ingenium,Lead and manage a team of data engineers and scientists working on firm's data pipeline. Data - Lead Software Engineer....,200000.0,mid_level,http://www.indeed.com/rc/clk?jk=25422e4f63bbf748&fccid=d19c99c72be0c18d,"New York, NY 10018 (Clinton area)",30+ days ago,200000.0,,Lead Data Engineer
9,Harnham,Chief Data Scientist - Consulting. Chief Data Scientist | Data Science | Insurance | Management Consulting | Project Management | Statistical Modeling....,200000.0,mid_level,http://www.indeed.com/rc/clk?jk=ed804e9cea125191&fccid=d72eb0548d91249c,"New York, NY",30+ days ago,220000.0,,Chief Data Scientist - Consulting
10,Rekruiters,Analyzing system performance/trading data; Building applicationsthat parse and stream data; Working with our research scientists to deliver their algorithms and...,200000.0,entry_level,http://www.indeed.com/rc/clk?jk=22ab419b40468c0e&fccid=6c02f58b75d4dcce,"Houston, TX 77006 (Montrose area)",6 days ago,250000.0,,C++ Software Engineer
11,Infinity Consulting Solutions,"Data Scientist - Principal. Looking for a proven ""hands on” Data Scientist to build up a new practice within this cloud-based product division....",200000.0,entry_level,http://www.indeed.com/rc/clk?jk=5d7c0d07b64bcca8&fccid=c91b9f014b80ea8c,"Saint Paul, MN",23 days ago,150000.0,250000.0,Principal Data Scientist
12,Averity,Source and build large data sets to utilize your abilities to conduct statistical and mathematical analysis....,200000.0,entry_level,http://www.indeed.com/rc/clk?jk=cfc624c0d5417a08&fccid=39407476605079e0,"Philadelphia, PA",26 days ago,200000.0,300000.0,Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge Fund
13,Geode Executive Search,"Data Scientist - Text Analytics - SQL, R, SAS*. The ~600 person company has a relatively new Data Analytics department, which has the responsibility of...",200000.0,entry_level,http://www.indeed.com/cmp/Geode-Executive-Search/jobs/Data-Scientist-56807b7467c12db9?r=1&fccid=e581077b5996c664,"New York, NY",30+ days ago,200000.0,,"Data Scientist - Text Analytics - SQL, R, SAS"
14,Averity,Our Quantitative Strategy team is in search of a statically and analytically driven Quant / Data Scientist with hands on programming experience to lead the...,200000.0,entry_level,http://www.indeed.com/rc/clk?jk=f894d92be821469e&fccid=39407476605079e0,"New York, NY",30+ days ago,200000.0,250000.0,Quantitative Research Analyst / Data Scientist for $20B Hedge Fund
15,Averity,Examine and analyze data to increase alpha and decrease risk. Industry leading multi-billion dollar quant fund looking for Analysts that can drive quantitative...,200000.0,entry_level,http://www.indeed.com/rc/clk?jk=56fd117bff74f3e9&fccid=39407476605079e0,"New York, NY",30+ days ago,150000.0,300000.0,Quantitative Analyst for Global Quant Fund
